P_Account,P_Password,R_AccountNo,Amount
IQ10399,welcome,IQ10409,-3459.89011
IQ10401,welcome,IQ10411,-3582.417582
IQ10403,welcome,IQ10413,-3704.945055
IQ10405,welcome,IQ10415,-3827.472527
IQ10407,welcome,IQ10417,-3950
IQ10409,welcome,IQ10419,-4072.527473
IQ10411,welcome,IQ10421,-4195.054945
IQ10413,welcome,IQ10423,-4317.582418
IQ10415,welcome,IQ10425,-4440.10989
IQ10417,welcome,IQ10427,-4562.637363
IQ10419,welcome,IQ10429,-4685.164835
IQ10421,welcome,IQ10431,-4807.692308
IQ10423,welcome,IQ10433,-4930.21978
IQ10425,welcome,IQ10435,-5052.747253
IQ10427,welcome,IQ10437,-5175.274725
IQ10429,welcome,IQ10439,-5297.802198
IQ10431,welcome,IQ10441,-5420.32967
IQ10433,welcome,IQ10443,-5542.857143
IQ10435,welcome,IQ10445,-5665.384615
IQ10437,welcome,IQ10447,-5787.912088
IQ10439,welcome,IQ10449,-5910.43956
IQ10441,welcome,IQ10451,-6032.967033
IQ10443,welcome,IQ10453,-6155.494505
IQ10445,welcome,IQ10455,-6278.021978
IQ10446,welcome,IQ10457,-6400.549451
IQ10449,welcome,IQ10459,-6523.076923
IQ10451,welcome,IQ10461,-6645.604396
IQ10453,welcome,IQ10463,-6768.131868
IQ10455,welcome,IQ10465,-6890.659341
IQ10457,welcome,IQ10467,-7013.186813
IQ10459,welcome,IQ10469,-7135.714286
IQ10461,welcome,IQ10471,-7258.241758
IQ10463,welcome,IQ10473,-7380.769231
IQ10465,welcome,IQ10475,-7503.296703
IQ10467,welcome,IQ10477,-7625.824176
IQ10469,welcome,IQ10479,-7748.351648
IQ10471,welcome,IQ10481,-7870.879121
IQ10473,welcome,IQ10483,-7993.406593
IQ10475,welcome,IQ10485,-8115.934066
IQ10477,welcome,IQ10487,-8238.461538
IQ10479,welcome,IQ10489,-8360.989011
IQ10481,welcome,IQ10491,-8483.516484
IQ10483,welcome,IQ10493,-8606.043956
IQ10485,welcome,IQ10495,-8728.571429
IQ10487,welcome,IQ10497,-8851.098901
IQ10489,welcome,IQ10499,-8973.626374
IQ10491,welcome,IQ10501,-9096.153846
IQ10493,welcome,IQ10503,-9218.681319
IQ10495,welcome,IQ10505,-9341.208791
IQ10497,welcome,IQ10507,-9463.736264
IQ10499,welcome,IQ10509,-9586.263736
IQ10501,welcome,IQ10511,-9708.791209
IQ10503,welcome,IQ10513,-9831.318681
IQ10505,welcome,IQ10515,-9953.846154
IQ10507,welcome,IQ10517,-10076.37363
IQ10509,welcome,IQ10519,-10198.9011
IQ10511,welcome,IQ10521,-10321.42857
IQ10513,welcome,IQ10523,-10443.95604
IQ10515,welcome,IQ10525,-10566.48352
IQ10517,welcome,IQ10527,-10689.01099
IQ10519,welcome,IQ10529,-10811.53846
IQ10521,welcome,IQ10531,-10934.06593
IQ10523,welcome,IQ10533,-11056.59341
IQ10525,welcome,IQ10535,-11179.12088
IQ10527,welcome,IQ10537,-11301.64835
IQ10531,welcome,IQ10539,-11424.17582
IQ10533,welcome,IQ10541,-11546.7033
IQ10535,welcome,IQ10543,-11669.23077
IQ10537,welcome,IQ10545,-11791.75824
IQ10539,welcome,IQ10547,-11914.28571
IQ10541,welcome,IQ10549,-12036.81319
IQ10543,welcome,IQ10551,-12159.34066
IQ10545,welcome,IQ10553,-12281.86813
IQ10547,welcome,IQ10555,-12404.3956
IQ10551,welcome,IQ10557,-12526.92308
IQ10553,welcome,IQ10559,-12649.45055
IQ10555,welcome,IQ10561,-12771.97802
IQ10557,welcome,IQ10563,-12894.50549
IQ10559,welcome,IQ10565,-13017.03297
IQ10561,welcome,IQ10567,-13139.56044
IQ10563,welcome,IQ10569,-13262.08791
IQ10565,welcome,IQ10571,-13384.61538
IQ10567,welcome,IQ10573,-13507.14286
IQ10569,welcome,IQ10575,-13629.67033
IQ10571,welcome,IQ10577,-13752.1978
IQ10573,welcome,IQ10579,-13874.72527
IQ10575,welcome,IQ10581,-13997.25275
IQ10577,welcome,IQ10583,-14119.78022
IQ10579,welcome,IQ10585,-14242.30769
IQ10581,welcome,IQ10587,-14364.83516
IQ10583,welcome,IQ10589,-14487.36264
IQ10585,welcome,IQ10591,-14609.89011
IQ10587,welcome,IQ10593,-14732.41758
IQ10589,welcome,IQ10595,-14854.94505
IQ10591,welcome,IQ10597,-14977.47253
IQ10593,welcome,IQ10599,-15100
IQ10595,welcome,IQ10601,-15222.52747
IQ10597,welcome,IQ10603,-15345.05495
IQ10599,welcome,IQ10605,-15467.58242
IQ10601,welcome,IQ10607,-15590.10989
IQ10603,welcome,IQ10609,-15712.63736
IQ10605,welcome,IQ10611,-15835.16484
IQ10607,welcome,IQ10613,-15957.69231
IQ10609,welcome,IQ10615,-16080.21978
IQ10611,welcome,IQ10617,-16202.74725
IQ10613,welcome,IQ10619,-16325.27473
IQ10615,welcome,IQ10621,-16447.8022
IQ10617,welcome,IQ10623,-16570.32967
IQ10619,welcome,IQ10625,-16692.85714
IQ10621,welcome,IQ10627,-16815.38462
IQ10623,welcome,IQ10629,-16937.91209
IQ10625,welcome,IQ10631,-17060.43956
IQ10627,welcome,IQ10633,-17182.96703
IQ10630,welcome,IQ10635,-17305.49451
IQ10632,welcome,IQ10637,-17428.02198
IQ10634,welcome,IQ10639,-17550.54945
IQ10636,welcome,IQ10641,-17673.07692
IQ10638,welcome,IQ10643,-17795.6044
IQ10640,welcome,IQ10645,-17918.13187
IQ10642,welcome,IQ10647,-18040.65934
IQ10644,welcome,IQ10649,-18163.18681
IQ10646,welcome,IQ10651,-18285.71429
IQ10648,welcome,IQ10653,-18408.24176
IQ10650,welcome,IQ10655,-18530.76923
IQ10652,welcome,IQ10657,-18653.2967
IQ10654,welcome,IQ10659,-18775.82418
IQ10656,welcome,IQ10661,-18898.35165
IQ10658,welcome,IQ10663,-19020.87912
IQ10660,welcome,IQ10665,-19143.40659
IQ10662,welcome,IQ10667,-19265.93407
IQ10664,welcome,IQ10669,-19388.46154
IQ10668,welcome,IQ10671,-19510.98901
IQ10670,welcome,IQ10673,-19633.51648
IQ10672,welcome,IQ10675,-19756.04396
IQ10674,welcome,IQ10677,-19878.57143
IQ10676,welcome,IQ10679,-20001.0989
IQ10678,welcome,IQ10681,-20123.62637
IQ10680,welcome,IQ10683,-20246.15385
IQ10682,welcome,IQ10685,-20368.68132
IQ10684,welcome,IQ10687,-20491.20879
IQ10686,welcome,IQ10689,-20613.73626
IQ10688,welcome,IQ10691,-20736.26374
IQ10690,welcome,IQ10693,-20858.79121
IQ10696,welcome,IQ10695,-20981.31868
IQ10701,welcome,IQ10697,-21103.84615
IQ10706,welcome,IQ10699,-21226.37363
IQ10708,welcome,IQ10701,-21348.9011
IQ10710,welcome,IQ10703,-21471.42857
IQ10712,welcome,IQ10705,-21593.95604
IQ10714,welcome,IQ10707,-21716.48352
IQ10716,welcome,IQ10709,-21839.01099
IQ10718,welcome,IQ10711,-21961.53846
IQ10720,welcome,IQ10713,-22084.06593
IQ10722,welcome,IQ10715,-22206.59341
IQ10724,welcome,IQ10717,-22329.12088
IQ10726,welcome,IQ10719,-22451.64835
IQ10728,welcome,IQ10721,-22574.17582
IQ10730,welcome,IQ10723,-22696.7033
IQ10732,welcome,IQ10725,-22819.23077
IQ10733,welcome,IQ10727,-22941.75824
IQ10734,welcome,IQ10729,-23064.28571
IQ10738,welcome,IQ10731,-23186.81319
IQ10740,welcome,IQ10733,-23309.34066
IQ10742,welcome,IQ10735,-23431.86813
IQ10744,welcome,IQ10737,-23554.3956
IQ10746,welcome,IQ10739,-23676.92308
IQ10748,welcome,IQ10741,-23799.45055
IQ10750,welcome,IQ10743,-23921.97802
IQ10752,welcome,IQ10745,-24044.50549
IQ10754,welcome,IQ10747,-24167.03297
IQ10756,welcome,IQ10749,-24289.56044
IQ10758,welcome,IQ10751,-24412.08791
IQ10760,welcome,IQ10753,-24534.61538
IQ10762,welcome,IQ10755,-24657.14286
IQ10763,welcome,IQ10757,-24779.67033
IQ10766,welcome,IQ10759,-24902.1978
IQ10768,welcome,IQ10761,-25024.72527
IQ10770,welcome,IQ10763,-25147.25275
IQ10772,welcome,IQ10765,-25269.78022
IQ10776,welcome,IQ10767,-25392.30769
IQ10778,welcome,IQ10769,-25514.83516
IQ10780,welcome,IQ10771,-25637.36264
IQ10782,welcome,IQ10773,-25759.89011
IQ10784,welcome,IQ10775,-25882.41758
IQ10788,welcome,IQ10777,-26004.94505
IQ10790,welcome,IQ10779,-26127.47253
IQ10792,welcome,IQ10781,-26250
IQ10794,welcome,IQ10783,-26372.52747
IQ10796,welcome,IQ10785,-26495.05495
IQ10798,welcome,IQ10787,-26617.58242
IQ10800,welcome,IQ10789,-26740.10989
IQ10802,welcome,IQ10791,-26862.63736
IQ10806,welcome,IQ10793,-26985.16484
IQ10808,welcome,IQ10795,-27107.69231
IQ10810,welcome,IQ10797,-27230.21978
IQ10812,welcome,IQ10799,-27352.74725
IQ10814,welcome,IQ10801,-27475.27473
IQ10816,welcome,IQ10803,-27597.8022
IQ10818,welcome,IQ10805,-27720.32967
IQ10820,welcome,IQ10807,-27842.85714
IQ10822,welcome,IQ10809,-27965.38462
IQ10826,welcome,IQ10811,-28087.91209
IQ10828,welcome,IQ10813,-28210.43956
IQ10830,welcome,IQ10815,-28332.96703
IQ10832,welcome,IQ10817,-28455.49451
IQ10834,welcome,IQ10819,-28578.02198
IQ10836,welcome,IQ10821,-28700.54945
IQ10838,welcome,IQ10823,-28823.07692
IQ10840,welcome,IQ10825,-28945.6044
IQ10842,welcome,IQ10827,-29068.13187
IQ10844,welcome,IQ10829,-29190.65934
IQ10848,welcome,IQ10831,-29313.18681
IQ10850,welcome,IQ10833,-29435.71429
IQ10852,welcome,IQ10835,-29558.24176
IQ10854,welcome,IQ10837,-29680.76923
IQ10856,welcome,IQ10839,-29803.2967
IQ10858,welcome,IQ10841,-29925.82418
IQ10860,welcome,IQ10843,-30048.35165
IQ10861,welcome,IQ10845,-30170.87912
IQ10864,welcome,IQ10847,-30293.40659
IQ10866,welcome,IQ10849,-30415.93407
IQ10868,welcome,IQ10851,-30538.46154
IQ10870,welcome,IQ10853,-30660.98901
IQ10872,welcome,IQ10855,-30783.51648
IQ10874,welcome,IQ10857,-30906.04396
IQ10876,welcome,IQ10859,-31028.57143
IQ10878,welcome,IQ10861,-31151.0989
IQ10880,welcome,IQ10863,-31273.62637
IQ10882,welcome,IQ10865,-31396.15385
IQ10884,welcome,IQ10867,-31518.68132
IQ10886,welcome,IQ10869,-31641.20879
IQ10888,welcome,IQ10871,-31763.73626
IQ10890,welcome,IQ10873,-31886.26374
IQ10892,welcome,IQ10875,-32008.79121
IQ10894,welcome,IQ10877,-32131.31868
IQ10896,welcome,IQ10879,-32253.84615
IQ10898,welcome,IQ10881,-32376.37363
IQ10900,welcome,IQ10883,-32498.9011
IQ10902,welcome,IQ10885,-32621.42857
IQ10904,welcome,IQ10887,-32743.95604
IQ10906,welcome,IQ10889,-32866.48352
IQ10908,welcome,IQ10891,-32989.01099
IQ10910,welcome,IQ10893,-33111.53846
IQ10912,welcome,IQ10895,-33234.06593
IQ10918,welcome,IQ10897,-33356.59341
IQ10922,welcome,IQ10899,-33479.12088
IQ10924,welcome,IQ10901,-33601.64835
IQ10926,welcome,IQ10903,-33724.17582
IQ10934,welcome,IQ10905,-33846.7033
IQ10940,welcome,IQ10907,-33969.23077
IQ10942,welcome,IQ10909,-34091.75824
IQ10948,welcome,IQ10911,-34214.28571
IQ10950,welcome,IQ10913,-34336.81319
IQ10956,welcome,IQ10915,-34459.34066
IQ10962,welcome,IQ10917,-34581.86813
IQ10964,welcome,IQ10919,-34704.3956
IQ10968,welcome,IQ10921,-34826.92308
IQ10972,welcome,IQ10923,-34949.45055
IQ10976,welcome,IQ10925,-35071.97802
IQ10978,welcome,IQ10927,-35194.50549
IQ10980,welcome,IQ10929,-35317.03297
IQ10985,welcome,IQ10931,-35439.56044
IQ10992,welcome,IQ10933,-35562.08791
IQ10994,welcome,IQ10935,-35684.61538
IQ10998,welcome,IQ10937,-35807.14286
IQ11000,welcome,IQ10939,-35929.67033
IQ11004,welcome,IQ10941,-36052.1978
IQ11012,welcome,IQ10943,-36174.72527
IQ11014,welcome,IQ10945,-36297.25275
IQ11016,welcome,IQ10947,-36419.78022
IQ11018,welcome,IQ10949,-36542.30769
IQ11024,welcome,IQ10951,-36664.83516
IQ11028,welcome,IQ10953,-36787.36264
IQ11030,welcome,IQ10955,-36909.89011
IQ11034,welcome,IQ10957,-37032.41758
IQ11036,welcome,IQ10959,-37154.94505
IQ11042,welcome,IQ10961,-37277.47253
IQ11046,welcome,IQ10963,-37400
IQ11050,welcome,IQ10965,-37522.52747
IQ11054,welcome,IQ10967,-37645.05495
IQ11056,welcome,IQ10969,-37767.58242
IQ11059,welcome,IQ10971,-37890.10989
IQ11064,welcome,IQ10973,-38012.63736
IQ11068,welcome,IQ10975,-38135.16484
IQ11076,welcome,IQ10977,-38257.69231
IQ11078,welcome,IQ10979,-38380.21978
IQ11082,welcome,IQ10981,-38502.74725
IQ11088,welcome,IQ10983,-38625.27473
IQ11093,welcome,IQ10985,-38747.8022
IQ11095,welcome,IQ10987,-38870.32967
IQ11097,welcome,IQ10989,-38992.85714
IQ11099,welcome,IQ10991,-39115.38462
IQ11101,welcome,IQ10993,-39237.91209
IQ11105,welcome,IQ10995,-39360.43956
IQ11107,welcome,IQ10997,-39482.96703
IQ11109,welcome,IQ10999,-39605.49451
IQ11110,welcome,IQ11001,-39728.02198
IQ11113,welcome,IQ11003,-39850.54945
IQ11117,welcome,IQ11005,-39973.07692
IQ11123,welcome,IQ11007,-40095.6044
IQ11125,welcome,IQ11009,-40218.13187
IQ11127,welcome,IQ11011,-40340.65934
IQ11129,welcome,IQ11013,-40463.18681
IQ11131,welcome,IQ11015,-40585.71429
IQ11133,welcome,IQ11017,-40708.24176
IQ11137,welcome,IQ11019,-40830.76923
IQ11139,welcome,IQ11021,-40953.2967
IQ11141,welcome,IQ11023,-41075.82418
IQ11147,welcome,IQ11025,-41198.35165
IQ11151,welcome,IQ11027,-41320.87912
IQ11153,welcome,IQ11029,-41443.40659
IQ11156,welcome,IQ11031,-41565.93407
IQ11159,welcome,IQ11033,-41688.46154
IQ11161,welcome,IQ11035,-41810.98901
IQ11163,welcome,IQ11037,-41933.51648
IQ11165,welcome,IQ11039,-42056.04396
IQ11167,welcome,IQ11041,-42178.57143
IQ11169,welcome,IQ11043,-42301.0989
IQ11170,welcome,IQ11045,-42423.62637
IQ11173,welcome,IQ11047,-42546.15385
IQ11175,welcome,IQ11049,-42668.68132
IQ11177,welcome,IQ11051,-42791.20879
IQ11179,welcome,IQ11053,-42913.73626
IQ11181,welcome,IQ11055,-43036.26374
IQ11183,welcome,IQ11057,-43158.79121
IQ11185,welcome,IQ11059,-43281.31868
IQ11187,welcome,IQ11061,-43403.84615
IQ11191,welcome,IQ11063,-43526.37363
IQ11195,welcome,IQ11065,-43648.9011
IQ11197,welcome,IQ11067,-43771.42857
IQ11199,welcome,IQ11069,-43893.95604
IQ11201,welcome,IQ11071,-44016.48352
IQ11203,welcome,IQ11073,-44139.01099
IQ11205,welcome,IQ11075,-44261.53846
IQ11206,welcome,IQ11077,-44384.06593
IQ11208,welcome,IQ11079,-44506.59341
IQ11210,welcome,IQ11081,-44629.12088
IQ11213,welcome,IQ11083,-44751.64835
IQ11215,welcome,IQ11085,-44874.17582
IQ11216,welcome,IQ11087,-44996.7033
IQ11219,welcome,IQ11089,-45119.23077
IQ11221,welcome,IQ11091,-45241.75824
IQ11223,welcome,IQ11093,-45364.28571
IQ11225,welcome,IQ11095,-45486.81319
IQ11227,welcome,IQ11097,-45609.34066
IQ11229,welcome,IQ11099,-45731.86813
IQ11231,welcome,IQ11101,-45854.3956
IQ11233,welcome,IQ11103,-45976.92308
IQ11235,welcome,IQ11105,-46099.45055
IQ11237,welcome,IQ11107,-46221.97802
IQ11239,welcome,IQ11109,-46344.50549
IQ11241,welcome,IQ11111,-46467.03297
IQ11243,welcome,IQ11113,-46589.56044
IQ11245,welcome,IQ11115,-46712.08791
IQ11247,welcome,IQ11117,-46834.61538
IQ11249,welcome,IQ11119,-46957.14286
IQ11251,welcome,IQ11121,-47079.67033
IQ11253,welcome,IQ11123,-47202.1978
IQ11255,welcome,IQ11125,-47324.72527
IQ11259,welcome,IQ11127,-47447.25275
IQ11261,welcome,IQ11129,-47569.78022
IQ11264,welcome,IQ11131,-47692.30769
IQ11267,welcome,IQ11133,-47814.83516
IQ11269,welcome,IQ11135,-47937.36264
IQ11271,welcome,IQ11137,-48059.89011
IQ11272,welcome,IQ11139,-48182.41758
IQ11275,welcome,IQ11141,-48304.94505
IQ11277,welcome,IQ11143,-48427.47253
IQ11279,welcome,IQ11145,-48550
IQ11281,welcome,IQ11147,-48672.52747
IQ11285,welcome,IQ11149,-48795.05495
IQ11287,welcome,IQ11151,-48917.58242
IQ11289,welcome,IQ11153,-49040.10989
IQ11291,welcome,IQ11155,-49162.63736
IQ11293,welcome,IQ11157,-49285.16484
IQ11295,welcome,IQ11159,-49407.69231
IQ11297,welcome,IQ11161,-49530.21978
IQ11299,welcome,IQ11163,-49652.74725
IQ11303,welcome,IQ11165,-49775.27473
IQ11305,welcome,IQ11167,-49897.8022
IQ11307,welcome,IQ11169,-50020.32967
IQ11309,welcome,IQ11171,-50142.85714
IQ11311,welcome,IQ11173,-50265.38462
IQ11313,welcome,IQ11175,-50387.91209
IQ11315,welcome,IQ11177,-50510.43956
IQ11317,welcome,IQ11179,-50632.96703
IQ11319,welcome,IQ11181,-50755.49451
IQ11323,welcome,IQ11183,-50878.02198
IQ11325,welcome,IQ11185,-51000.54945
IQ11327,welcome,IQ11187,-51123.07692
IQ11329,welcome,IQ11189,-51245.6044
IQ11331,welcome,IQ11191,-51368.13187
IQ11333,welcome,IQ11193,-51490.65934
IQ11335,welcome,IQ11195,-51613.18681
IQ11337,welcome,IQ11197,-51735.71429
IQ11339,welcome,IQ11199,-51858.24176
IQ11341,welcome,IQ11201,-51980.76923
IQ11343,welcome,IQ11203,-52103.2967
IQ11345,welcome,IQ11205,-52225.82418
IQ11347,welcome,IQ11207,-52348.35165
IQ11349,welcome,IQ11209,-52470.87912
IQ11351,welcome,IQ11211,-52593.40659
IQ11353,welcome,IQ11213,-52715.93407
IQ11355,welcome,IQ11215,-52838.46154
IQ11357,welcome,IQ11217,-52960.98901
IQ11359,welcome,IQ11219,-53083.51648
IQ11361,welcome,IQ11221,-53206.04396
IQ11363,welcome,IQ11223,-53328.57143
IQ11365,welcome,IQ11225,-53451.0989
IQ11367,welcome,IQ11227,-53573.62637
IQ11369,welcome,IQ11229,-53696.15385
IQ11371,welcome,IQ11231,-53818.68132
IQ11373,welcome,IQ11233,-53941.20879
IQ11375,welcome,IQ11235,-54063.73626
IQ11377,welcome,IQ11237,-54186.26374
IQ11378,welcome,IQ11239,-54308.79121
IQ11381,welcome,IQ11241,-54431.31868
IQ11383,welcome,IQ11243,-54553.84615
IQ11385,welcome,IQ11245,-54676.37363
IQ11387,welcome,IQ11247,-54798.9011
IQ11389,welcome,IQ11249,-54921.42857
IQ11391,welcome,IQ11251,-55043.95604
IQ11393,welcome,IQ11253,-55166.48352
IQ11395,welcome,IQ11255,-55289.01099
IQ11397,welcome,IQ11257,-55411.53846
IQ11399,welcome,IQ11259,-55534.06593
IQ11401,welcome,IQ11261,-55656.59341
IQ11403,welcome,IQ11263,-55779.12088
IQ11405,welcome,IQ11265,-55901.64835
IQ11407,welcome,IQ11267,-56024.17582
IQ11409,welcome,IQ11269,-56146.7033
IQ11411,welcome,IQ11271,-56269.23077
IQ11413,welcome,IQ11273,-56391.75824
IQ11415,welcome,IQ11275,-56514.28571
IQ11417,welcome,IQ11277,-56636.81319
IQ11419,welcome,IQ11279,-56759.34066
IQ11421,welcome,IQ11281,-56881.86813
IQ11423,welcome,IQ11283,-57004.3956
IQ11425,welcome,IQ11285,-57126.92308
IQ11427,welcome,IQ11287,-57249.45055
IQ11429,welcome,IQ11289,-57371.97802
IQ11431,welcome,IQ11291,-57494.50549
IQ11433,welcome,IQ11293,-57617.03297
IQ11435,welcome,IQ11295,-57739.56044
IQ11437,welcome,IQ11297,-57862.08791
IQ11439,welcome,IQ11299,-57984.61538
IQ11441,welcome,IQ11301,-58107.14286
IQ11443,welcome,IQ11303,-58229.67033
IQ11445,welcome,IQ11305,-58352.1978
IQ11446,welcome,IQ11307,-58474.72527
IQ11449,welcome,IQ11309,-58597.25275
IQ11451,welcome,IQ11311,-58719.78022
IQ11453,welcome,IQ11313,-58842.30769
IQ11455,welcome,IQ11315,-58964.83516
IQ11456,welcome,IQ11317,-59087.36264
IQ11459,welcome,IQ11319,-59209.89011
IQ11461,welcome,IQ11321,-59332.41758
IQ11463,welcome,IQ11323,-59454.94505
IQ11465,welcome,IQ11325,-59577.47253
IQ11467,welcome,IQ11327,-59700
IQ11469,welcome,IQ11329,-59822.52747
IQ11471,welcome,IQ11331,-59945.05495
IQ11473,welcome,IQ11333,-60067.58242
IQ11475,welcome,IQ11335,-60190.10989
IQ11477,welcome,IQ11337,-60312.63736
IQ11479,welcome,IQ11339,-60435.16484
IQ11481,welcome,IQ11341,-60557.69231
IQ11483,welcome,IQ11343,-60680.21978
IQ11485,welcome,IQ11345,-60802.74725
IQ11487,welcome,IQ11347,-60925.27473
IQ11489,welcome,IQ11349,-61047.8022
IQ11491,welcome,IQ11351,-61170.32967
IQ11493,welcome,IQ11353,-61292.85714
IQ11495,welcome,IQ11355,-61415.38462
IQ11497,welcome,IQ11357,-61537.91209
IQ11499,welcome,IQ11359,-61660.43956
IQ11501,welcome,IQ11361,-61782.96703
IQ11503,welcome,IQ11363,-61905.49451
IQ11507,welcome,IQ11365,-62028.02198
IQ11509,welcome,IQ11367,-62150.54945
IQ11511,welcome,IQ11369,-62273.07692
IQ11513,welcome,IQ11371,-62395.6044
IQ11515,welcome,IQ11373,-62518.13187
IQ11517,welcome,IQ11375,-62640.65934
IQ11519,welcome,IQ11377,-62763.18681
IQ11521,welcome,IQ11379,-62885.71429
IQ11523,welcome,IQ11381,-63008.24176
IQ11525,welcome,IQ11383,-63130.76923
IQ11527,welcome,IQ11385,-63253.2967
IQ11529,welcome,IQ11387,-63375.82418
IQ11531,welcome,IQ11389,-63498.35165
IQ11533,welcome,IQ11391,-63620.87912
IQ11535,welcome,IQ11393,-63743.40659
IQ11537,welcome,IQ11395,-63865.93407
IQ11539,welcome,IQ11397,-63988.46154
IQ11543,welcome,IQ11399,-64110.98901
IQ11545,welcome,IQ11401,-64233.51648
IQ11547,welcome,IQ11403,-64356.04396
IQ11549,welcome,IQ11405,-64478.57143
IQ11551,welcome,IQ11407,-64601.0989
IQ11553,welcome,IQ11409,-64723.62637
IQ11555,welcome,IQ11411,-64846.15385
IQ11559,welcome,IQ11413,-64968.68132
IQ11561,welcome,IQ11415,-65091.20879
IQ11563,welcome,IQ11417,-65213.73626
IQ11565,welcome,IQ11419,-65336.26374
IQ11567,welcome,IQ11421,-65458.79121
IQ11569,welcome,IQ11423,-65581.31868
IQ11571,welcome,IQ11425,-65703.84615
IQ11575,welcome,IQ11427,-65826.37363
IQ11579,welcome,IQ11429,-65948.9011
IQ11583,welcome,IQ11431,-66071.42857
IQ11585,welcome,IQ11433,-66193.95604
IQ11600,welcome,IQ11435,-66316.48352
IQ11602,welcome,IQ11437,-66439.01099
IQ11604,welcome,IQ11439,-66561.53846
IQ11606,welcome,IQ11441,-66684.06593
IQ11618,welcome,IQ11443,-66806.59341
IQ11622,welcome,IQ11445,-66929.12088
IQ11630,welcome,IQ11447,-67051.64835
IQ11636,welcome,IQ11449,-67174.17582
IQ11642,welcome,IQ11451,-67296.7033
IQ11650,welcome,IQ11453,-67419.23077
IQ11654,welcome,IQ11455,-67541.75824
IQ11656,welcome,IQ11457,-67664.28571
IQ11658,welcome,IQ11459,-67786.81319
IQ11660,welcome,IQ11461,-67909.34066
IQ11664,welcome,IQ11463,-68031.86813
IQ11670,welcome,IQ11465,-68154.3956
IQ11673,welcome,IQ11467,-68276.92308
IQ11680,welcome,IQ11469,-68399.45055
IQ11683,welcome,IQ11471,-68521.97802
IQ11691,welcome,IQ11473,-68644.50549
IQ11695,welcome,IQ11475,-68767.03297
IQ11697,welcome,IQ11477,-68889.56044
IQ11700,welcome,IQ11479,-69012.08791
IQ11702,welcome,IQ11481,-69134.61538
IQ11706,welcome,IQ11483,-69257.14286
IQ11712,welcome,IQ11485,-69379.67033
IQ11714,welcome,IQ11487,-69502.1978
IQ11718,welcome,IQ11489,-69624.72527
IQ11728,welcome,IQ11491,-69747.25275
IQ11746,welcome,IQ11493,-69869.78022
IQ11748,welcome,IQ11495,-69992.30769
IQ11750,welcome,IQ11497,-70114.83516
IQ11752,welcome,IQ11499,-70237.36264
IQ11754,welcome,IQ11501,-70359.89011
IQ11758,welcome,IQ11503,-70482.41758
IQ11760,welcome,IQ11505,-70604.94505
IQ11766,welcome,IQ11507,-70727.47253
IQ11774,welcome,IQ11509,-70850
IQ11776,welcome,IQ11511,-70972.52747
IQ11778,welcome,IQ11513,-71095.05495
IQ11780,welcome,IQ11515,-71217.58242
IQ11782,welcome,IQ11517,-71340.10989
IQ11784,welcome,IQ11519,-71462.63736
IQ11790,welcome,IQ11521,-71585.16484
IQ11794,welcome,IQ11523,-71707.69231
IQ11798,welcome,IQ11525,-71830.21978
