AccountNumber,Password,PayeeAcc,Amount
IQ10493,welcome,IQ10411,7000
IQ10495,welcome,IQ10413,8000
IQ10497,welcome,IQ10415,9000
IQ10499,welcome,IQ10417,10000
IQ10501,welcome,IQ10419,11000
IQ10503,welcome,IQ10421,12000
IQ10505,welcome,IQ10423,13000
IQ10507,welcome,IQ10425,1500
IQ10509,welcome,IQ10427,1000
IQ10511,welcome,IQ10429,2000
IQ10513,welcome,IQ10431,7000
IQ10515,welcome,IQ10433,8000
IQ10517,welcome,IQ10435,9000
IQ10519,welcome,IQ10437,10000
IQ10521,welcome,IQ10439,11000
IQ10523,welcome,IQ10441,12000
IQ10525,welcome,IQ10443,13000
IQ10527,welcome,IQ10445,1500
IQ10531,welcome,IQ10446,1000
IQ10533,welcome,IQ10449,2000
IQ10535,welcome,IQ10451,7000
IQ10537,welcome,IQ10453,8000
IQ10539,welcome,IQ10455,9000
IQ10541,welcome,IQ10457,10000
IQ10543,welcome,IQ10459,11000
IQ10545,welcome,IQ10461,12000
IQ10547,welcome,IQ10463,13000
IQ10551,welcome,IQ10465,1500
IQ10553,welcome,IQ10467,1000
IQ10555,welcome,IQ10469,2000
IQ10557,welcome,IQ10471,7000
IQ10559,welcome,IQ10473,8000
IQ10561,welcome,IQ10475,9000
IQ10563,welcome,IQ10477,10000
IQ10565,welcome,IQ10479,11000
IQ10567,welcome,IQ10481,12000
IQ10569,welcome,IQ10483,13000
IQ10571,welcome,IQ10485,1500
IQ10573,welcome,IQ10487,1000
IQ10575,welcome,IQ10489,2000
IQ10577,welcome,IQ10491,7000
IQ10579,welcome,IQ10493,8000
IQ10581,welcome,IQ10495,9000
IQ10583,welcome,IQ10497,10000
IQ10585,welcome,IQ10499,11000
IQ10587,welcome,IQ10501,12000
IQ10589,welcome,IQ10503,13000
IQ10591,welcome,IQ10505,1500
IQ10593,welcome,IQ10507,1000
IQ10595,welcome,IQ10509,2000
IQ10597,welcome,IQ10511,7000
IQ10599,welcome,IQ10513,8000
IQ10601,welcome,IQ10515,9000
IQ10603,welcome,IQ10517,10000
IQ10605,welcome,IQ10519,11000
IQ10607,welcome,IQ10521,12000
IQ10609,welcome,IQ10523,13000
IQ10611,welcome,IQ10525,1500
IQ10613,welcome,IQ10527,1000
IQ10615,welcome,IQ10531,2000
IQ10617,welcome,IQ10533,7000
IQ10619,welcome,IQ10535,8000
IQ10621,welcome,IQ10537,9000
IQ10623,welcome,IQ10539,10000
IQ10625,welcome,IQ10541,11000
IQ10627,welcome,IQ10543,12000
IQ10630,welcome,IQ10545,13000
IQ10632,welcome,IQ10547,1500
IQ10634,welcome,IQ10551,1000
IQ10636,welcome,IQ10553,2000
IQ10638,welcome,IQ10555,7000
IQ10640,welcome,IQ10557,8000
IQ10642,welcome,IQ10559,9000
IQ10644,welcome,IQ10561,10000
IQ10646,welcome,IQ10563,11000
IQ10648,welcome,IQ10565,12000
IQ10650,welcome,IQ10567,13000
IQ10652,welcome,IQ10569,1500
IQ10654,welcome,IQ10571,1000
IQ10656,welcome,IQ10573,2000
IQ10658,welcome,IQ10575,7000
IQ10660,welcome,IQ10577,8000
IQ10662,welcome,IQ10579,9000
IQ10664,welcome,IQ10581,10000
IQ10668,welcome,IQ10583,11000
IQ10670,welcome,IQ10585,12000
IQ10672,welcome,IQ10587,13000
IQ10674,welcome,IQ10589,1500
IQ10676,welcome,IQ10591,1000
IQ10678,welcome,IQ10593,2000
IQ10680,welcome,IQ10595,7000
IQ10682,welcome,IQ10597,8000
IQ10684,welcome,IQ10599,9000
IQ10686,welcome,IQ10601,10000
IQ10688,welcome,IQ10603,11000
IQ10690,welcome,IQ10605,12000
IQ10696,welcome,IQ10607,13000
IQ10701,welcome,IQ10609,1500
IQ10706,welcome,IQ10611,1000
IQ10708,welcome,IQ10613,2000
IQ10710,welcome,IQ10615,7000
IQ10712,welcome,IQ10617,8000
IQ10714,welcome,IQ10619,9000
IQ10716,welcome,IQ10409,10000
IQ10718,welcome,IQ10517,11000
IQ10720,welcome,IQ10519,12000
IQ10722,welcome,IQ10521,13000
IQ10724,welcome,IQ10523,1500
IQ10726,welcome,IQ10525,1000
IQ10728,welcome,IQ10527,2000
IQ10730,welcome,IQ10531,7000
IQ10732,welcome,IQ10533,8000
IQ10733,welcome,IQ10535,9000
IQ10734,welcome,IQ10537,10000
IQ10738,welcome,IQ10539,11000
IQ10740,welcome,IQ10541,12000
IQ10742,welcome,IQ10543,13000
IQ10744,welcome,IQ10545,1500
IQ10746,welcome,IQ10547,1000
IQ10748,welcome,IQ10551,2000
IQ10750,welcome,IQ10553,7000
IQ10752,welcome,IQ10555,8000
IQ10754,welcome,IQ10557,9000
IQ10756,welcome,IQ10559,10000
IQ10758,welcome,IQ10561,11000
IQ10760,welcome,IQ10563,12000
IQ10762,welcome,IQ10565,13000
IQ10763,welcome,IQ10567,1500
IQ10766,welcome,IQ10569,1000
IQ10768,welcome,IQ10571,2000
IQ10770,welcome,IQ10573,7000
IQ10772,welcome,IQ10575,8000
IQ10776,welcome,IQ10577,9000
IQ10778,welcome,IQ10579,10000
IQ10780,welcome,IQ10581,11000
IQ10782,welcome,IQ10583,12000
IQ10784,welcome,IQ10585,13000
IQ10788,welcome,IQ10587,1500
IQ10790,welcome,IQ10589,1000
IQ10792,welcome,IQ10591,2000
IQ10794,welcome,IQ10593,7000
IQ10796,welcome,IQ10595,8000
IQ10798,welcome,IQ10597,9000
IQ10800,welcome,IQ10599,10000
IQ10802,welcome,IQ10601,11000
IQ10806,welcome,IQ10603,12000
IQ10808,welcome,IQ10605,13000
IQ10810,welcome,IQ10607,1500
IQ10812,welcome,IQ10609,1000
IQ10814,welcome,IQ10611,2000
IQ10816,welcome,IQ10613,7000
IQ10818,welcome,IQ10615,8000
IQ10820,welcome,IQ10617,9000
IQ10822,welcome,IQ10619,10000
IQ10826,welcome,IQ10621,11000
IQ10828,welcome,IQ10623,12000
IQ10830,welcome,IQ10625,13000
IQ10832,welcome,IQ10627,1500
IQ10834,welcome,IQ10630,1000
IQ10836,welcome,IQ10632,2000
IQ10838,welcome,IQ10634,7000
IQ10840,welcome,IQ10636,8000
IQ10842,welcome,IQ10638,9000
IQ10844,welcome,IQ10640,10000
IQ10848,welcome,IQ10642,11000
IQ10850,welcome,IQ10644,12000
IQ10852,welcome,IQ10646,13000
IQ10854,welcome,IQ10648,1500
IQ10856,welcome,IQ10650,1000
IQ10858,welcome,IQ10652,2000
IQ10860,welcome,IQ10654,7000
IQ10861,welcome,IQ10656,8000
IQ10864,welcome,IQ10658,9000
IQ10866,welcome,IQ10660,10000
IQ10868,welcome,IQ10662,11000
IQ10870,welcome,IQ10664,12000
IQ10872,welcome,IQ10668,13000
IQ10874,welcome,IQ10670,1500
IQ10876,welcome,IQ10672,1000
IQ10878,welcome,IQ10674,2000
IQ10880,welcome,IQ10676,7000
IQ10882,welcome,IQ10678,8000
IQ10884,welcome,IQ10680,9000
IQ10886,welcome,IQ10682,10000
IQ10888,welcome,IQ10684,11000
IQ10890,welcome,IQ10686,12000
IQ10892,welcome,IQ10688,13000
IQ10894,welcome,IQ10690,1500
IQ10896,welcome,IQ10696,1000
IQ10898,welcome,IQ10701,2000
IQ10900,welcome,IQ10706,7000
IQ10902,welcome,IQ10708,8000
IQ10904,welcome,IQ10710,9000
IQ10906,welcome,IQ10712,10000
IQ10908,welcome,IQ10714,11000
IQ10910,welcome,IQ10716,12000
IQ10912,welcome,IQ10718,13000
IQ10918,welcome,IQ10720,1500
IQ10922,welcome,IQ10722,1000
IQ10924,welcome,IQ10724,2000
IQ10926,welcome,IQ10726,7000
IQ10934,welcome,IQ10728,8000
IQ10940,welcome,IQ10730,9000
IQ10942,welcome,IQ10732,10000
IQ10948,welcome,IQ10733,11000
IQ10950,welcome,IQ10734,12000
IQ10956,welcome,IQ10738,13000
IQ10962,welcome,IQ10740,1500
IQ10964,welcome,IQ10742,1000
IQ10968,welcome,IQ10744,2000
IQ10972,welcome,IQ10746,7000
IQ10976,welcome,IQ10748,8000
IQ10978,welcome,IQ10750,9000
IQ10980,welcome,IQ10752,10000
IQ10985,welcome,IQ10754,11000
IQ10992,welcome,IQ10756,12000
IQ10994,welcome,IQ10758,13000
IQ10998,welcome,IQ10760,1500
IQ11000,welcome,IQ10762,1000
IQ11004,welcome,IQ10763,2000
IQ11012,welcome,IQ10766,7000
IQ11014,welcome,IQ10768,8000
IQ11016,welcome,IQ10770,9000
IQ11018,welcome,IQ10772,10000
IQ11024,welcome,IQ10776,11000
IQ11028,welcome,IQ10778,12000
IQ11030,welcome,IQ10780,13000
IQ11034,welcome,IQ10782,1500
IQ11036,welcome,IQ10784,1000
IQ11042,welcome,IQ10788,2000
IQ11046,welcome,IQ10790,7000
IQ11050,welcome,IQ10792,8000
IQ11054,welcome,IQ10794,9000
IQ11056,welcome,IQ10796,10000
IQ11059,welcome,IQ10798,11000
IQ11064,welcome,IQ10800,12000
IQ11068,welcome,IQ10802,13000
IQ11076,welcome,IQ10806,1500
IQ11078,welcome,IQ10808,1000
IQ11082,welcome,IQ10810,2000
IQ11088,welcome,IQ10812,7000
IQ11093,welcome,IQ10814,8000
IQ11095,welcome,IQ10816,9000
IQ11097,welcome,IQ10818,10000
IQ11099,welcome,IQ10820,11000
IQ11101,welcome,IQ10822,12000
IQ11105,welcome,IQ10826,13000
IQ11107,welcome,IQ10828,1500
IQ11109,welcome,IQ10830,1000
IQ11110,welcome,IQ10832,2000
IQ11113,welcome,IQ10834,7000
IQ11117,welcome,IQ10836,8000
IQ11123,welcome,IQ10838,9000
IQ11125,welcome,IQ10840,10000
IQ11127,welcome,IQ10842,11000
IQ11129,welcome,IQ10844,12000
IQ11131,welcome,IQ10848,13000
IQ11133,welcome,IQ10850,1500
IQ11137,welcome,IQ10852,1000
IQ11139,welcome,IQ10854,2000
IQ11141,welcome,IQ10856,7000
IQ11147,welcome,IQ10858,8000
IQ11151,welcome,IQ10860,9000
IQ11153,welcome,IQ10861,10000
IQ11156,welcome,IQ10864,11000
IQ11159,welcome,IQ10866,12000
IQ11161,welcome,IQ10868,13000
IQ11163,welcome,IQ10870,1500
IQ11165,welcome,IQ10872,1000
IQ11167,welcome,IQ10874,2000
IQ11169,welcome,IQ10876,7000
IQ11170,welcome,IQ10878,8000
IQ11173,welcome,IQ10880,9000
IQ11175,welcome,IQ10882,10000
IQ11177,welcome,IQ10884,11000
IQ11179,welcome,IQ10886,12000
IQ11181,welcome,IQ10888,13000
IQ11183,welcome,IQ10890,1500
IQ11185,welcome,IQ10892,1000
IQ11187,welcome,IQ10894,2000
IQ11191,welcome,IQ10896,7000
IQ11195,welcome,IQ10898,8000
IQ11197,welcome,IQ10900,9000
IQ11199,welcome,IQ10902,10000
IQ11201,welcome,IQ10904,11000
IQ11203,welcome,IQ10906,12000
IQ11205,welcome,IQ10908,13000
IQ11206,welcome,IQ10910,1500
IQ11208,welcome,IQ10912,1000
IQ11210,welcome,IQ10912,2000
IQ11213,welcome,IQ10918,7000
IQ11215,welcome,IQ10922,8000
IQ11216,welcome,IQ10924,9000
IQ11219,welcome,IQ10926,10000
IQ11221,welcome,IQ10934,11000
IQ11223,welcome,IQ10940,12000
IQ11225,welcome,IQ10942,13000
IQ11227,welcome,IQ10948,1500
IQ11229,welcome,IQ10950,1000
IQ11231,welcome,IQ10956,2000
IQ11233,welcome,IQ10962,7000
IQ11235,welcome,IQ10964,8000
IQ11237,welcome,IQ10968,9000
IQ11239,welcome,IQ10972,10000
IQ11241,welcome,IQ10976,11000
IQ11243,welcome,IQ10978,12000
IQ11245,welcome,IQ10980,13000
IQ11247,welcome,IQ10985,1500
IQ11249,welcome,IQ10992,1000
IQ11251,welcome,IQ10994,2000
IQ11253,welcome,IQ10998,7000
IQ11255,welcome,IQ11000,8000
IQ11259,welcome,IQ11004,9000
IQ11261,welcome,IQ11012,10000
IQ11264,welcome,IQ11014,11000
IQ11267,welcome,IQ11016,12000
IQ11269,welcome,IQ11018,13000
IQ11271,welcome,IQ11024,1500
IQ11272,welcome,IQ11028,1000
IQ11275,welcome,IQ11030,2000
IQ11277,welcome,IQ11034,7000
IQ11279,welcome,IQ11036,8000
IQ11281,welcome,IQ11042,9000
IQ11285,welcome,IQ11046,10000
IQ11287,welcome,IQ11050,11000
IQ11289,welcome,IQ11054,12000
IQ11291,welcome,IQ11056,13000
IQ11293,welcome,IQ11059,1500
IQ11295,welcome,IQ11064,1000
IQ11297,welcome,IQ11068,2000
IQ11299,welcome,IQ11076,7000
IQ11303,welcome,IQ11078,8000
IQ11305,welcome,IQ11082,9000
IQ11307,welcome,IQ11088,10000
IQ11309,welcome,IQ11093,11000
IQ11311,welcome,IQ11095,12000
IQ11313,welcome,IQ11097,13000
IQ11315,welcome,IQ11099,1500
IQ11317,welcome,IQ11101,1000
IQ11319,welcome,IQ11105,2000
IQ11323,welcome,IQ11107,7000
IQ11325,welcome,IQ11109,8000
IQ11327,welcome,IQ11110,9000
IQ11329,welcome,IQ11113,10000
IQ11331,welcome,IQ11117,11000
IQ11333,welcome,IQ11123,12000
IQ11335,welcome,IQ11125,13000
IQ11337,welcome,IQ11127,1500
IQ11339,welcome,IQ11129,1000
IQ11341,welcome,IQ11131,2000
IQ11343,welcome,IQ11133,7000
IQ11345,welcome,IQ11137,8000
IQ11347,welcome,IQ11139,9000
IQ11349,welcome,IQ11141,10000
IQ11351,welcome,IQ11147,11000
IQ11353,welcome,IQ11151,12000
IQ11355,welcome,IQ11153,13000
IQ11357,welcome,IQ11156,1500
IQ11359,welcome,IQ11159,1000
IQ11361,welcome,IQ11161,2000
IQ11363,welcome,IQ11163,7000
IQ11365,welcome,IQ11165,8000
IQ11367,welcome,IQ11167,9000
IQ11369,welcome,IQ11169,10000
IQ11371,welcome,IQ11170,11000
IQ11373,welcome,IQ11173,12000
IQ11375,welcome,IQ11175,13000
IQ11377,welcome,IQ11177,1500
IQ11378,welcome,IQ11179,1000
IQ11381,welcome,IQ11181,2000
IQ11383,welcome,IQ11183,7000
IQ11385,welcome,IQ11185,8000
IQ11387,welcome,IQ11187,9000
IQ11389,welcome,IQ11191,10000
IQ11391,welcome,IQ11195,11000
IQ11393,welcome,IQ11197,12000
IQ11395,welcome,IQ11199,13000
IQ11397,welcome,IQ11201,1500
IQ11399,welcome,IQ11203,1000
IQ11401,welcome,IQ11205,2000
IQ11403,welcome,IQ11206,7000
IQ11405,welcome,IQ11208,8000
IQ11407,welcome,IQ11210,9000
IQ11409,welcome,IQ11213,10000
IQ11411,welcome,IQ11215,11000
IQ11413,welcome,IQ11216,12000
IQ11415,welcome,IQ11219,13000
IQ11417,welcome,IQ11221,1500
IQ11419,welcome,IQ11223,1000
IQ11421,welcome,IQ11225,2000
IQ11423,welcome,IQ11227,7000
IQ11425,welcome,IQ11229,8000
IQ11427,welcome,IQ11231,9000
IQ11429,welcome,IQ11233,10000
IQ11431,welcome,IQ11235,11000
IQ11433,welcome,IQ11237,12000
IQ11435,welcome,IQ11239,13000
IQ11437,welcome,IQ11241,1500
IQ11439,welcome,IQ11243,1000
IQ11441,welcome,IQ11245,2000
IQ11443,welcome,IQ11247,7000
IQ11445,welcome,IQ11249,8000
IQ11446,welcome,IQ11251,9000
IQ11449,welcome,IQ11253,10000
IQ11451,welcome,IQ11255,11000
IQ11453,welcome,IQ11259,12000
IQ11455,welcome,IQ11261,13000
IQ11456,welcome,IQ11264,1500
IQ11459,welcome,IQ11267,1000
IQ11461,welcome,IQ11269,2000
IQ11463,welcome,IQ11271,7000
IQ11465,welcome,IQ11272,8000
IQ11467,welcome,IQ11275,9000
IQ11469,welcome,IQ11277,10000
IQ11471,welcome,IQ11279,11000
IQ11473,welcome,IQ11281,12000
IQ11475,welcome,IQ11285,13000
IQ11477,welcome,IQ11287,1500
IQ11479,welcome,IQ11289,1000
IQ11481,welcome,IQ11291,2000
IQ11483,welcome,IQ11293,7000
IQ11485,welcome,IQ11295,8000
IQ11487,welcome,IQ11297,9000
IQ11489,welcome,IQ11299,10000
IQ11491,welcome,IQ11303,11000
IQ11493,welcome,IQ11305,12000
IQ11495,welcome,IQ11307,13000
IQ11497,welcome,IQ11309,1500
IQ11499,welcome,IQ11311,1000
IQ11501,welcome,IQ11313,2000
IQ11503,welcome,IQ11315,7000
IQ11507,welcome,IQ11317,8000
IQ11509,welcome,IQ11319,9000
IQ11511,welcome,IQ11323,10000
IQ11513,welcome,IQ11325,11000
IQ11515,welcome,IQ11327,12000
IQ11517,welcome,IQ11329,13000
IQ11519,welcome,IQ11331,1500
IQ11521,welcome,IQ11333,1000
IQ11523,welcome,IQ11335,2000
IQ11525,welcome,IQ11337,7000
IQ11527,welcome,IQ11339,8000
IQ11529,welcome,IQ11341,9000
IQ11531,welcome,IQ11343,10000
IQ11533,welcome,IQ11345,11000
IQ11535,welcome,IQ11347,12000
IQ11537,welcome,IQ11349,13000
IQ11539,welcome,IQ11351,1500
IQ11543,welcome,IQ11353,1000
IQ11545,welcome,IQ11355,2000
IQ11547,welcome,IQ11357,7000
IQ11549,welcome,IQ11359,8000
IQ11551,welcome,IQ11361,9000
IQ11553,welcome,IQ11363,10000
IQ11555,welcome,IQ11365,11000
IQ11559,welcome,IQ11367,12000
IQ11561,welcome,IQ11369,13000
IQ11563,welcome,IQ11371,1500
IQ11565,welcome,IQ11373,1000
IQ11567,welcome,IQ11375,2000
IQ11569,welcome,IQ11377,7000
IQ11571,welcome,IQ11378,8000
IQ11575,welcome,IQ11381,9000
IQ11579,welcome,IQ11383,10000
IQ11583,welcome,IQ11385,11000
IQ11585,welcome,IQ11387,12000
IQ11600,welcome,IQ11389,13000
IQ11602,welcome,IQ11391,1500
IQ11604,welcome,IQ11393,1000
IQ11606,welcome,IQ11395,2000
IQ11618,welcome,IQ11397,7000
IQ11622,welcome,IQ11399,8000
IQ11630,welcome,IQ11401,9000
IQ11636,welcome,IQ11403,10000
IQ11642,welcome,IQ11405,11000
IQ11650,welcome,IQ11407,12000
IQ11654,welcome,IQ11409,13000
IQ11656,welcome,IQ11411,1500
IQ11658,welcome,IQ11413,1000
IQ11660,welcome,IQ11415,2000
IQ11664,welcome,IQ11417,7000
IQ11670,welcome,IQ11419,8000
IQ11673,welcome,IQ11421,9000
IQ11680,welcome,IQ11423,10000
IQ11683,welcome,IQ11425,11000
IQ11691,welcome,IQ11427,12000
IQ11695,welcome,IQ11429,13000
IQ11697,welcome,IQ11431,1500
IQ11700,welcome,IQ11433,1000
IQ11702,welcome,IQ11435,2000
IQ11706,welcome,IQ11437,7000
IQ11712,welcome,IQ11439,8000
IQ11714,welcome,IQ11441,9000
IQ11718,welcome,IQ11443,10000
IQ11728,welcome,IQ11445,11000
IQ11746,welcome,IQ11446,12000
IQ11748,welcome,IQ11449,13000
IQ11750,welcome,IQ11451,1500
IQ11752,welcome,IQ11453,1000
IQ11754,welcome,IQ11455,2000
IQ11758,welcome,IQ11456,7000
IQ11760,welcome,IQ11459,8000
IQ11766,welcome,IQ11461,9000
IQ11774,welcome,IQ11463,10000
IQ11776,welcome,IQ11465,11000
IQ11778,welcome,IQ11467,12000
IQ11780,welcome,IQ11469,13000
IQ11782,welcome,IQ11471,1500
IQ11784,welcome,IQ11473,1000
IQ11790,welcome,IQ11475,2000
IQ11794,welcome,IQ11477,7000
IQ11798,welcome,IQ11479,8000
IQ11800,welcome,IQ11481,9000
IQ11806,welcome,IQ11483,10000
IQ11808,welcome,IQ11485,11000
IQ11822,welcome,IQ11487,12000
IQ11826,welcome,IQ11489,13000
IQ11828,welcome,IQ11491,1500
IQ11830,welcome,IQ11493,1000
IQ11833,welcome,IQ11495,2000
IQ11838,welcome,IQ11497,7000
IQ11840,welcome,IQ11499,8000
IQ11857,welcome,IQ11501,9000
IQ11876,welcome,IQ11503,10000
IQ11904,welcome,IQ11507,11000
IQ11908,welcome,IQ11509,12000
IQ11926,welcome,IQ11511,13000
IQ11932,welcome,IQ11513,1500
IQ11980,welcome,IQ11515,1000
IQ12017,welcome,IQ11517,2000
IQ12033,welcome,IQ11519,7000
IQ12035,welcome,IQ11521,8000
IQ12071,welcome,IQ11523,9000
IQ12099,welcome,IQ11525,10000
IQ12124,welcome,IQ11527,11000
IQ12127,welcome,IQ11529,12000
IQ12161,welcome,IQ11531,13000
IQ12177,welcome,IQ11533,1500
IQ12306,welcome,IQ11535,1000
IQ12342,welcome,IQ11537,2000
IQ12362,welcome,IQ11539,7000
IQ12510,welcome,IQ11543,8000
IQ12606,welcome,IQ11545,9000
IQ12814,welcome,IQ11547,10000
IQ12972,welcome,IQ11549,11000
IQ12973,welcome,IQ11551,12000
IQ12975,welcome,IQ11553,13000
IQ12977,welcome,IQ11555,1500
IQ12978,welcome,IQ11559,1000
IQ12979,welcome,IQ11561,2000
IQ12982,welcome,IQ11563,7000
IQ12983,welcome,IQ11565,8000
IQ12986,welcome,IQ11567,9000
IQ12988,welcome,IQ11569,10000
IQ12990,welcome,IQ11571,11000
IQ12992,welcome,IQ11575,12000
IQ12996,welcome,IQ11579,13000
IQ12998,welcome,IQ11583,1500
IQ13000,welcome,IQ11585,1000
IQ13002,welcome,IQ11600,2000
IQ13004,welcome,IQ11602,7000
IQ13007,welcome,IQ11604,8000
IQ13009,welcome,IQ11606,9000
IQ13015,welcome,IQ11618,10000
IQ13017,welcome,IQ11622,11000
IQ13021,welcome,IQ11630,12000
IQ13023,welcome,IQ11636,13000
IQ13024,welcome,IQ11642,1500
IQ13028,welcome,IQ11650,1000
IQ13029,welcome,IQ11654,2000
IQ13031,welcome,IQ11656,7000
IQ13033,welcome,IQ11658,8000
IQ13035,welcome,IQ11660,9000
IQ13039,welcome,IQ11664,10000
IQ13040,welcome,IQ11670,11000
IQ13041,welcome,IQ11673,12000
IQ13048,welcome,IQ11680,13000
IQ13049,welcome,IQ11683,1500
IQ13050,welcome,IQ11691,1000
IQ13052,welcome,IQ11695,2000
IQ13054,welcome,IQ11697,7000
IQ13055,welcome,IQ11700,8000
IQ13060,welcome,IQ11702,9000
IQ13063,welcome,IQ11706,10000
IQ13064,welcome,IQ11712,11000
IQ13067,welcome,IQ11714,12000
IQ13068,welcome,IQ11718,13000
IQ13069,welcome,IQ11728,1500
IQ13070,welcome,IQ11746,1000
IQ13073,welcome,IQ11748,2000
IQ13078,welcome,IQ11750,7000
IQ13079,welcome,IQ11752,8000
IQ13080,welcome,IQ11754,9000
IQ13082,welcome,IQ11758,10000
IQ13087,welcome,IQ11760,11000
IQ13088,welcome,IQ11766,12000
IQ13089,welcome,IQ11774,13000
IQ13092,welcome,IQ11776,1500
IQ13093,welcome,IQ11778,1000
IQ13096,welcome,IQ11780,2000
IQ13099,welcome,IQ11782,7000
IQ13100,welcome,IQ11784,8000
IQ13102,welcome,IQ11790,9000
IQ13103,welcome,IQ11794,10000
IQ13104,welcome,IQ11798,11000
IQ13106,welcome,IQ11800,12000
IQ13109,welcome,IQ11806,13000
IQ13111,welcome,IQ11808,1500
IQ13113,welcome,IQ11822,1000
IQ13117,welcome,IQ11826,2000
IQ13119,welcome,IQ11828,7000
IQ13121,welcome,IQ11830,8000
IQ13124,welcome,IQ11833,9000
IQ13126,welcome,IQ11838,10000
IQ13128,welcome,IQ11840,11000
IQ13130,welcome,IQ11857,12000
IQ13133,welcome,IQ11876,13000
IQ13138,welcome,IQ11904,1500
IQ13140,welcome,IQ11908,1000
IQ13141,welcome,IQ11926,2000
IQ13150,welcome,IQ11932,7000
IQ13152,welcome,IQ11980,8000
IQ13155,welcome,IQ12017,9000
IQ13157,welcome,IQ12033,10000
IQ13158,welcome,IQ12035,11000
IQ13165,welcome,IQ12071,12000
IQ13166,welcome,IQ12099,13000
IQ13167,welcome,IQ12124,1500
IQ13168,welcome,IQ12127,1000
IQ13170,welcome,IQ12161,2000
IQ13175,welcome,IQ12177,7000
IQ13176,welcome,IQ12306,8000
IQ13177,welcome,IQ12342,9000
IQ13182,welcome,IQ12362,10000
IQ13183,welcome,IQ12510,11000
IQ13185,welcome,IQ12606,12000
IQ13191,welcome,IQ12814,13000
IQ13192,welcome,IQ12972,1500
IQ13195,welcome,IQ12973,1000
IQ13196,welcome,IQ12975,2000
IQ13202,welcome,IQ12977,7000
IQ13208,welcome,IQ12978,8000
IQ13210,welcome,IQ12979,9000
IQ13214,welcome,IQ12982,10000
IQ13228,welcome,IQ12983,11000
IQ13230,welcome,IQ12986,12000
IQ13231,welcome,IQ12988,13000
IQ13235,welcome,IQ12990,1500
IQ13237,welcome,IQ12992,1000
IQ13239,welcome,IQ12996,2000
IQ13240,welcome,IQ12998,7000
IQ13246,welcome,IQ13000,8000
IQ13249,welcome,IQ13002,9000
IQ13261,welcome,IQ13004,10000
IQ13263,welcome,IQ13007,11000
IQ13266,welcome,IQ13009,12000
IQ13269,welcome,IQ13015,13000
IQ13278,welcome,IQ13017,1500
IQ13282,welcome,IQ13021,1000
IQ13283,welcome,IQ13023,2000
IQ13293,welcome,IQ13024,7000
IQ13294,welcome,IQ13028,8000
IQ13300,welcome,IQ13029,9000
IQ13301,welcome,IQ13031,10000
IQ13305,welcome,IQ13033,11000
IQ13310,welcome,IQ13035,12000
IQ13312,welcome,IQ13039,13000
IQ13317,welcome,IQ13041,1500
IQ13321,welcome,IQ13040,1000
IQ13324,welcome,IQ13048,2000
IQ13326,welcome,IQ13049,7000
IQ13328,welcome,IQ13050,8000
IQ13331,welcome,IQ13052,9000
IQ13333,welcome,IQ13054,10000
IQ13336,welcome,IQ13055,11000
IQ13339,welcome,IQ13060,12000
IQ13343,welcome,IQ13064,13000
IQ13345,welcome,IQ13063,1500
IQ13348,welcome,IQ13067,1000
IQ13360,welcome,IQ13068,2000
